C1,C2,C3,C4,C5,C6,C7,C8,C9,T1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4
1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
